asin,sku,date,sales_quantity,sale_price,original_price,discount_rate,ad_spend,ad_impressions,ad_clicks,fba_inventory,is_lightning_deal,is_coupon_active,category,launch_date
B00000000,SKU-HOM-0000,2024-01-15,29,53.91,53.91,0.0,40.02,5021,59,1981,0,0,home_decor,2024-01-15
B00000000,SKU-HOM-0000,2024-01-16,24,53.91,53.91,0.0,61.96,7813,129,991,0,0,home_decor,2024-01-15
B00000000,SKU-HOM-0000,2024-01-17,34,53.91,53.91,0.0,0.0,0,0,889,0,0,home_decor,2024-01-15
B00000000,SKU-HOM-0000,2024-01-18,34,53.91,53.91,0.0,59.94,7528,137,484,0,0,home_decor,2024-01-15
B00000000,SKU-HOM-0000,2024-01-19,21,45.69,53.91,0.15,31.86,4433,48,617,0,1,home_decor,2024-01-15
B00000000,SKU-HOM-0000,2024-01-20,40,53.91,53.91,0.0,0.0,0,0,1599,0,0,home_decor,2024-01-15
B00000000,SKU-HOM-0000,2024-01-21,32,53.91,53.91,0.0,0.0,0,0,391,0,0,home_decor,2024-01-15
B00000000,SKU-HOM-0000,2024-01-22,26,53.91,53.91,0.0,62.56,7465,145,1918,0,0,home_decor,2024-01-15
B00000000,SKU-HOM-0000,2024-01-23,26,53.91,53.91,0.0,60.28,6172,282,376,0,0,home_decor,2024-01-15
B00000000,SKU-HOM-0000,2024-01-24,44,53.91,53.91,0.0,0.0,0,0,934,0,0,home_decor,2024-01-15
B00000000,SKU-HOM-0000,2024-01-25,40,53.91,53.91,0.0,32.41,4118,165,1374,0,0,home_decor,2024-01-15
B00000000,SKU-HOM-0000,2024-01-26,49,53.91,53.91,0.0,0.0,0,0,833,0,0,home_decor,2024-01-15
B00000000,SKU-HOM-0000,2024-01-27,42,53.91,53.91,0.0,56.64,6982,98,1742,0,0,home_decor,2024-01-15
B00000000,SKU-HOM-0000,2024-01-28,44,53.91,53.91,0.0,42.75,4117,136,1588,0,0,home_decor,2024-01-15
B00000000,SKU-HOM-0000,2024-01-29,54,53.91,53.91,0.0,0.0,0,0,1293,0,0,home_decor,2024-01-15
B00000000,SKU-HOM-0000,2024-01-30,40,53.91,53.91,0.0,32.49,3587,72,953,0,0,home_decor,2024-01-15
B00000000,SKU-HOM-0000,2024-01-31,34,53.91,53.91,0.0,55.78,6740,326,1414,0,0,home_decor,2024-01-15
B00000000,SKU-HOM-0000,2024-02-01,47,53.91,53.91,0.0,0.0,0,0,884,0,0,home_decor,2024-01-15
B00000000,SKU-HOM-0000,2024-02-02,58,53.91,53.91,0.0,0.0,0,0,1452,0,0,home_decor,2024-01-15
B00000000,SKU-HOM-0000,2024-02-03,41,53.91,53.91,0.0,30.49,4564,172,1482,0,0,home_decor,2024-01-15
B00000000,SKU-HOM-0000,2024-02-04,50,53.91,53.91,0.0,0.0,0,0,1171,0,0,home_decor,2024-01-15
B00000000,SKU-HOM-0000,2024-02-05,41,53.91,53.91,0.0,26.85,2647,64,939,0,0,home_decor,2024-01-15
B00000000,SKU-HOM-0000,2024-02-06,53,53.91,53.91,0.0,0.0,0,0,931,0,0,home_decor,2024-01-15
B00000000,SKU-HOM-0000,2024-02-07,40,53.91,53.91,0.0,46.55,6719,89,997,0,0,home_decor,2024-01-15
B00000000,SKU-HOM-0000,2024-02-08,39,53.91,53.91,0.0,0.0,0,0,423,0,0,home_decor,2024-01-15
B00000000,SKU-HOM-0000,2024-02-09,64,53.91,53.91,0.0,0.0,0,0,888,0,0,home_decor,2024-01-15
B00000000,SKU-HOM-0000,2024-02-10,62,53.91,53.91,0.0,62.42,8545,427,970,0,0,home_decor,2024-01-15
B00000000,SKU-HOM-0000,2024-02-11,85,53.91,53.91,0.0,39.23,3493,168,916,0,0,home_decor,2024-01-15
B00000000,SKU-HOM-0000,2024-02-12,69,49.04,53.91,0.09,41.9,4748,205,1529,0,0,home_decor,2024-01-15
B00000000,SKU-HOM-0000,2024-02-13,63,53.91,53.91,0.0,21.5,1763,70,1052,0,0,home_decor,2024-01-15
B00000000,SKU-HOM-0000,2024-02-14,77,53.91,53.91,0.0,0.0,0,0,1529,0,0,home_decor,2024-01-15
B00000000,SKU-HOM-0000,2024-02-15,61,53.91,53.91,0.0,42.78,5769,149,958,0,0,home_decor,2024-01-15
B00000000,SKU-HOM-0000,2024-02-16,76,53.91,53.91,0.0,0.0,0,0,984,0,0,home_decor,2024-01-15
B00000000,SKU-HOM-0000,2024-02-17,98,53.91,53.91,0.0,49.47,4789,62,960,0,0,home_decor,2024-01-15
B00000000,SKU-HOM-0000,2024-02-18,72,53.91,53.91,0.0,53.0,5767,259,866,0,0,home_decor,2024-01-15
B00000000,SKU-HOM-0000,2024-02-19,55,49.85,53.91,0.08,23.91,2061,30,432,0,0,home_decor,2024-01-15
B00000000,SKU-HOM-0000,2024-02-20,54,53.91,53.91,0.0,19.17,2179,81,1279,0,0,home_decor,2024-01-15
B00000000,SKU-HOM-0000,2024-02-21,52,53.91,53.91,0.0,0.0,0,0,824,0,0,home_decor,2024-01-15
B00000000,SKU-HOM-0000,2024-02-22,73,53.91,53.91,0.0,56.56,6628,257,65,0,0,home_decor,2024-01-15
B00000000,SKU-HOM-0000,2024-02-23,81,53.91,53.91,0.0,0.0,0,0,1731,0,0,home_decor,2024-01-15
B00000000,SKU-HOM-0000,2024-02-24,87,53.91,53.91,0.0,35.13,2859,65,1454,0,0,home_decor,2024-01-15
B00000000,SKU-HOM-0000,2024-02-25,73,53.91,53.91,0.0,33.89,4250,124,427,0,0,home_decor,2024-01-15
B00000000,SKU-HOM-0000,2024-02-26,88,53.91,53.91,0.0,29.89,3150,112,1961,0,0,home_decor,2024-01-15
B00000000,SKU-HOM-0000,2024-02-27,70,53.91,53.91,0.0,26.62,2810,82,1573,0,0,home_decor,2024-01-15
B00000000,SKU-HOM-0000,2024-02-28,64,53.91,53.91,0.0,43.37,4715,232,1446,0,0,home_decor,2024-01-15
B00000000,SKU-HOM-0000,2024-02-29,101,43.33,53.91,0.2,54.48,7488,290,914,0,1,home_decor,2024-01-15
B00000000,SKU-HOM-0000,2024-03-01,95,53.91,53.91,0.0,37.82,4369,86,758,0,0,home_decor,2024-01-15
B00000000,SKU-HOM-0000,2024-03-02,72,53.91,53.91,0.0,0.0,0,0,1044,0,0,home_decor,2024-01-15
B00000000,SKU-HOM-0000,2024-03-03,0,53.91,53.91,0.0,69.44,7122,301,0,0,0,home_decor,2024-01-15
B00000000,SKU-HOM-0000,2024-03-04,65,53.91,53.91,0.0,58.48,5115,225,435,0,0,home_decor,2024-01-15
B00000000,SKU-HOM-0000,2024-03-05,110,53.91,53.91,0.0,65.88,8598,102,1572,0,0,home_decor,2024-01-15
B00000000,SKU-HOM-0000,2024-03-06,70,53.91,53.91,0.0,59.62,7545,233,331,0,0,home_decor,2024-01-15
B00000000,SKU-HOM-0000,2024-03-07,95,53.91,53.91,0.0,0.0,0,0,999,0,0,home_decor,2024-01-15
B00000000,SKU-HOM-0000,2024-03-08,99,53.91,53.91,0.0,64.38,6880,218,1839,0,0,home_decor,2024-01-15
B00000000,SKU-HOM-0000,2024-03-09,96,53.91,53.91,0.0,0.0,0,0,753,0,0,home_decor,2024-01-15
B00000000,SKU-HOM-0000,2024-03-10,108,53.91,53.91,0.0,0.0,0,0,619,0,0,home_decor,2024-01-15
B00000000,SKU-HOM-0000,2024-03-11,99,53.91,53.91,0.0,25.45,3308,98,1064,0,0,home_decor,2024-01-15
B00000000,SKU-HOM-0000,2024-03-12,82,53.91,53.91,0.0,42.13,4962,146,523,0,0,home_decor,2024-01-15
B00000000,SKU-HOM-0000,2024-03-13,96,53.91,53.91,0.0,28.1,2927,50,1071,0,0,home_decor,2024-01-15
B00000000,SKU-HOM-0000,2024-03-14,87,53.91,53.91,0.0,46.83,5404,186,1846,0,0,home_decor,2024-01-15
B00000000,SKU-HOM-0000,2024-03-15,68,53.91,53.91,0.0,0.0,0,0,326,0,0,home_decor,2024-01-15
B00000000,SKU-HOM-0000,2024-03-16,110,53.91,53.91,0.0,0.0,0,0,1519,0,0,home_decor,2024-01-15
B00000000,SKU-HOM-0000,2024-03-17,80,53.91,53.91,0.0,24.43,3386,78,766,0,0,home_decor,2024-01-15
B00000000,SKU-HOM-0000,2024-03-18,84,53.91,53.91,0.0,58.12,7105,103,443,0,0,home_decor,2024-01-15
B00000000,SKU-HOM-0000,2024-03-19,83,53.91,53.91,0.0,0.0,0,0,1752,0,0,home_decor,2024-01-15
B00000000,SKU-HOM-0000,2024-03-20,115,53.91,53.91,0.0,23.27,1916,43,484,0,0,home_decor,2024-01-15
B00000000,SKU-HOM-0000,2024-03-21,65,53.91,53.91,0.0,67.82,6131,162,675,0,0,home_decor,2024-01-15
B00000000,SKU-HOM-0000,2024-03-22,81,53.91,53.91,0.0,37.9,5153,123,869,0,0,home_decor,2024-01-15
B00000000,SKU-HOM-0000,2024-03-23,105,53.91,53.91,0.0,57.43,6416,198,1187,0,0,home_decor,2024-01-15
B00000000,SKU-HOM-0000,2024-03-24,125,53.91,53.91,0.0,18.23,2419,50,361,0,0,home_decor,2024-01-15
B00000000,SKU-HOM-0000,2024-03-25,74,53.91,53.91,0.0,15.52,1482,28,642,0,0,home_decor,2024-01-15
B00000000,SKU-HOM-0000,2024-03-26,85,53.91,53.91,0.0,0.0,0,0,1827,0,0,home_decor,2024-01-15
B00000000,SKU-HOM-0000,2024-03-27,80,53.91,53.91,0.0,0.0,0,0,690,0,0,home_decor,2024-01-15
B00000000,SKU-HOM-0000,2024-03-28,75,53.91,53.91,0.0,18.87,2346,92,28,0,0,home_decor,2024-01-15
B00000000,SKU-HOM-0000,2024-03-29,91,53.91,53.91,0.0,0.0,0,0,1746,0,0,home_decor,2024-01-15
B00000000,SKU-HOM-0000,2024-03-30,117,53.91,53.91,0.0,36.93,4381,120,1139,0,0,home_decor,2024-01-15
B00000000,SKU-HOM-0000,2024-03-31,130,53.91,53.91,0.0,69.18,7815,135,1338,0,0,home_decor,2024-01-15
B00000000,SKU-HOM-0000,2024-04-01,155,53.91,53.91,0.0,71.6,7841,119,228,0,0,home_decor,2024-01-15
B00000000,SKU-HOM-0000,2024-04-02,99,53.91,53.91,0.0,66.12,6558,210,1376,0,0,home_decor,2024-01-15
B00000000,SKU-HOM-0000,2024-04-03,107,53.91,53.91,0.0,41.32,5423,108,1972,0,0,home_decor,2024-01-15
B00000000,SKU-HOM-0000,2024-04-04,176,53.91,53.91,0.0,61.51,5123,85,1586,0,0,home_decor,2024-01-15
B00000000,SKU-HOM-0000,2024-04-05,164,44.45,53.91,0.18,93.24,12168,418,1533,0,1,home_decor,2024-01-15
B00000000,SKU-HOM-0000,2024-04-06,206,53.91,53.91,0.0,22.49,2212,74,1714,0,0,home_decor,2024-01-15
B00000000,SKU-HOM-0000,2024-04-07,130,53.91,53.91,0.0,47.55,4974,131,260,0,0,home_decor,2024-01-15
B00000000,SKU-HOM-0000,2024-04-08,0,53.91,53.91,0.0,0.0,0,0,0,0,0,home_decor,2024-01-15
B00000000,SKU-HOM-0000,2024-04-09,109,53.91,53.91,0.0,0.0,0,0,1016,0,0,home_decor,2024-01-15
B00000000,SKU-HOM-0000,2024-04-10,140,53.91,53.91,0.0,89.84,11792,498,1950,0,0,home_decor,2024-01-15
B00000000,SKU-HOM-0000,2024-04-11,187,53.91,53.91,0.0,75.45,6308,232,1511,0,0,home_decor,2024-01-15
B00000000,SKU-HOM-0000,2024-04-12,118,53.91,53.91,0.0,0.0,0,0,534,0,0,home_decor,2024-01-15
B00000000,SKU-HOM-0000,2024-04-13,211,53.91,53.91,0.0,0.0,0,0,793,0,0,home_decor,2024-01-15
B00000000,SKU-HOM-0000,2024-04-14,165,53.91,53.91,0.0,72.01,7599,246,1321,0,0,home_decor,2024-01-15
B00000000,SKU-HOM-0000,2024-04-15,142,53.91,53.91,0.0,84.32,9923,361,1620,0,0,home_decor,2024-01-15
B00000000,SKU-HOM-0000,2024-04-16,159,53.91,53.91,0.0,89.61,7302,328,1364,0,0,home_decor,2024-01-15
B00000000,SKU-HOM-0000,2024-04-17,110,50.79,53.91,0.06,23.01,2613,86,1971,0,0,home_decor,2024-01-15
B00000000,SKU-HOM-0000,2024-04-18,142,53.91,53.91,0.0,0.0,0,0,1912,0,0,home_decor,2024-01-15
B00000000,SKU-HOM-0000,2024-04-19,131,53.91,53.91,0.0,23.37,1898,93,784,0,0,home_decor,2024-01-15
B00000000,SKU-HOM-0000,2024-04-20,134,53.91,53.91,0.0,0.0,0,0,1138,0,0,home_decor,2024-01-15
B00000000,SKU-HOM-0000,2024-04-21,214,53.91,53.91,0.0,0.0,0,0,425,0,0,home_decor,2024-01-15
B00000000,SKU-HOM-0000,2024-04-22,127,53.91,53.91,0.0,68.62,7952,152,425,0,0,home_decor,2024-01-15
B00000000,SKU-HOM-0000,2024-04-23,195,53.91,53.91,0.0,0.0,0,0,253,0,0,home_decor,2024-01-15
B00000000,SKU-HOM-0000,2024-04-24,193,53.91,53.91,0.0,51.7,6880,260,415,0,0,home_decor,2024-01-15
B00000000,SKU-HOM-0000,2024-04-25,165,53.91,53.91,0.0,91.59,12841,363,1151,0,0,home_decor,2024-01-15
B00000000,SKU-HOM-0000,2024-04-26,191,53.91,53.91,0.0,0.0,0,0,720,0,0,home_decor,2024-01-15
B00000000,SKU-HOM-0000,2024-04-27,204,53.91,53.91,0.0,20.41,2626,31,1113,0,0,home_decor,2024-01-15
B00000000,SKU-HOM-0000,2024-04-28,199,44.33,53.91,0.18,58.45,7099,305,1791,0,1,home_decor,2024-01-15
B00000000,SKU-HOM-0000,2024-04-29,191,53.91,53.91,0.0,89.45,8691,141,1015,0,0,home_decor,2024-01-15
B00000000,SKU-HOM-0000,2024-04-30,176,53.91,53.91,0.0,80.22,7308,330,1025,0,0,home_decor,2024-01-15
B00000000,SKU-HOM-0000,2024-05-01,0,53.91,53.91,0.0,92.7,7423,239,0,0,0,home_decor,2024-01-15
B00000000,SKU-HOM-0000,2024-05-02,138,53.91,53.91,0.0,0.0,0,0,216,0,0,home_decor,2024-01-15
B00000000,SKU-HOM-0000,2024-05-03,112,53.91,53.91,0.0,42.67,3468,94,1193,0,0,home_decor,2024-01-15
