asin,sku,category,launch_date,end_date,is_active,base_sales,base_price,lifecycle_months
B00000000,SKU-HOM-0000,home_decor,2024-01-15,2025-05-09,False,121,53.91,16
B00000001,SKU-HOM-0001,home_decor,2024-01-07,2025-12-27,False,124,44.85,24
B00000002,SKU-OUT-0002,outdoor,2024-01-21,2024-10-17,False,143,61.02,9
B00000003,SKU-ELE-0003,electronics,2024-01-22,2024-08-19,False,117,69.11,7
B00000004,SKU-ELE-0004,electronics,2024-01-06,2024-08-03,False,93,79.49,7
B00000005,SKU-ELE-0005,electronics,2024-01-01,2025-05-25,False,87,49.11,17
B00000006,SKU-HOM-0006,home_decor,2024-02-25,2025-12-16,False,108,40.99,22
B00000007,SKU-KIT-0007,kitchen,2024-02-28,2025-11-19,False,49,44.64,21
B00000008,SKU-HOM-0008,home_decor,2024-02-15,,True,157,48.43,24
B00000009,SKU-KIT-0009,kitchen,2024-02-25,2024-10-22,False,85,59.22,8
B00000010,SKU-TOY-0010,toys,2024-02-09,2025-02-03,False,77,76.68,12
B00000011,SKU-HOM-0011,home_decor,2024-02-28,2025-09-20,False,58,16.04,19
B00000012,SKU-HOM-0012,home_decor,2024-03-20,2025-11-10,False,57,17.24,20
B00000013,SKU-HOM-0013,home_decor,2024-03-14,2026-01-03,False,99,58.06,22
B00000014,SKU-ELE-0014,electronics,2024-03-02,2025-01-26,False,83,50.54,11
B00000015,SKU-ELE-0015,electronics,2024-03-22,,True,119,44.23,23
B00000016,SKU-KIT-0016,kitchen,2024-04-04,2025-10-26,False,82,36.23,19
B00000017,SKU-KIT-0017,kitchen,2024-04-14,2025-05-09,False,119,40.26,13
B00000018,SKU-HOM-0018,home_decor,2024-04-18,2025-12-09,False,102,53.14,20
B00000019,SKU-KIT-0019,kitchen,2024-04-25,2025-10-17,False,75,34.26,18
B00000020,SKU-ELE-0020,electronics,2024-05-01,2025-04-26,False,38,65.2,12
B00000021,SKU-KIT-0021,kitchen,2024-05-12,2025-06-06,False,97,68.0,13
B00000022,SKU-TOY-0022,toys,2024-05-17,2025-06-11,False,222,66.36,13
B00000023,SKU-ELE-0023,electronics,2024-05-27,2025-03-23,False,135,38.3,10
B00000024,SKU-TOY-0024,toys,2024-05-09,2025-05-04,False,131,44.21,12
B00000025,SKU-KIT-0025,kitchen,2024-05-01,2026-01-21,False,57,58.47,21
B00000026,SKU-OUT-0026,outdoor,2024-05-05,2024-12-31,False,143,32.86,8
B00000027,SKU-HOM-0027,home_decor,2024-06-01,2025-01-27,False,150,78.16,8
B00000028,SKU-ELE-0028,electronics,2024-06-03,2024-11-30,False,34,51.48,6
B00000029,SKU-TOY-0029,toys,2024-06-14,2025-06-09,False,86,48.98,12
B00000030,SKU-OUT-0030,outdoor,2024-06-15,2025-09-08,False,163,22.01,15
B00000031,SKU-OUT-0031,outdoor,2024-06-07,,True,91,51.61,22
B00000032,SKU-ELE-0032,electronics,2024-07-05,2025-06-30,False,138,50.09,12
B00000033,SKU-ELE-0033,electronics,2024-07-04,2025-12-26,False,61,53.93,18
B00000034,SKU-OUT-0034,outdoor,2024-07-19,2025-02-14,False,84,34.22,7
B00000035,SKU-HOM-0035,home_decor,2024-07-21,2025-06-16,False,77,67.24,11
B00000036,SKU-HOM-0036,home_decor,2024-07-12,2025-11-04,False,177,67.48,16
B00000037,SKU-TOY-0037,toys,2024-07-28,2025-07-23,False,249,22.15,12
B00000038,SKU-HOM-0038,home_decor,2024-08-27,,True,52,15.45,18
B00000039,SKU-OUT-0039,outdoor,2024-08-08,2025-10-02,False,101,29.44,14
B00000040,SKU-OUT-0040,outdoor,2024-08-19,2025-11-12,False,98,36.01,15
B00000041,SKU-KIT-0041,kitchen,2024-09-20,,True,96,78.17,22
B00000042,SKU-OUT-0042,outdoor,2024-09-20,,True,78,47.32,17
B00000043,SKU-HOM-0043,home_decor,2024-09-17,2025-07-14,False,162,79.85,10
B00000044,SKU-TOY-0044,toys,2024-10-17,2025-05-15,False,189,41.72,7
B00000045,SKU-KIT-0045,kitchen,2024-10-23,2025-08-19,False,35,30.57,10
B00000046,SKU-HOM-0046,home_decor,2024-10-02,,True,117,20.26,17
B00000047,SKU-TOY-0047,toys,2024-10-24,,True,97,38.91,22
B00000048,SKU-HOM-0048,home_decor,2024-10-20,2025-05-18,False,188,68.07,7
B00000049,SKU-KIT-0049,kitchen,2024-11-09,2025-10-05,False,114,17.65,11
B00000050,SKU-OUT-0050,outdoor,2024-11-20,2025-08-17,False,129,48.29,9
B00000051,SKU-KIT-0051,kitchen,2024-11-19,2025-11-14,False,86,76.13,12
B00000052,SKU-OUT-0052,outdoor,2024-12-08,2025-06-06,False,50,37.17,6
B00000053,SKU-KIT-0053,kitchen,2024-12-25,,True,57,50.19,23
B00000054,SKU-ELE-0054,electronics,2024-12-10,2025-08-07,False,36,57.9,8
B00000055,SKU-HOM-0055,home_decor,2024-12-26,,True,109,31.95,21
B00000056,SKU-HOM-0056,home_decor,2025-01-16,,True,86,72.37,17
B00000057,SKU-ELE-0057,electronics,2025-01-23,,True,134,37.7,14
B00000058,SKU-OUT-0058,outdoor,2025-01-16,,True,170,70.66,21
B00000059,SKU-HOM-0059,home_decor,2025-02-24,2025-08-23,False,165,20.47,6
B00000060,SKU-ELE-0060,electronics,2025-02-08,2025-11-05,False,67,58.48,9
B00000061,SKU-HOM-0061,home_decor,2025-02-03,,True,148,78.29,21
B00000062,SKU-TOY-0062,toys,2025-02-18,,True,141,46.56,19
B00000063,SKU-OUT-0063,outdoor,2025-02-03,,True,107,30.42,21
B00000064,SKU-TOY-0064,toys,2025-02-21,,True,207,38.82,21
B00000065,SKU-OUT-0065,outdoor,2025-02-08,,True,167,51.94,12
B00000066,SKU-ELE-0066,electronics,2025-02-12,,True,115,32.24,24
B00000067,SKU-OUT-0067,outdoor,2025-03-06,,True,148,46.64,11
B00000068,SKU-OUT-0068,outdoor,2025-03-08,2025-10-04,False,60,47.67,7
B00000069,SKU-ELE-0069,electronics,2025-03-28,,True,93,71.17,20
B00000070,SKU-OUT-0070,outdoor,2025-03-28,,True,43,16.58,21
B00000071,SKU-HOM-0071,home_decor,2025-03-17,,True,95,74.47,22
